case_id,pair_id,experiment_id,dataset_id,dataset_version,window_size,observed_gaps,ground_truth,target_gap_index_zero_based,target_prime_index_one_based,target_left_prime,target_right_prime,source
CASE-W004-0018,PAIR-0018,EXP-000001,DS-EXP000001-001,0.1.0,4,20 6 4 6,12,15265,15266,167087,167099,local_deterministic_sieve
CASE-W004-0019,PAIR-0019,EXP-000001,DS-EXP000001-001,0.1.0,4,30 14 12 6,4,15451,15452,169489,169493,local_deterministic_sieve
CASE-W004-0020,PAIR-0020,EXP-000001,DS-EXP000001-001,0.1.0,4,36 8 16 18,2,17949,17950,199601,199603,local_deterministic_sieve
CASE-W008-0001,PAIR-0001,EXP-000001,DS-EXP000001-001,0.1.0,8,6 4 2 10 8 18 24 4,6,328,329,2207,2213,local_deterministic_sieve
CASE-W008-0002,PAIR-0002,EXP-000001,DS-EXP000001-001,0.1.0,8,6 18 4 6 6 6 2 6,12,2013,2014,17497,17509,local_deterministic_sieve
CASE-W008-0003,PAIR-0003,EXP-000001,DS-EXP000001-001,0.1.0,8,16 12 8 22 2 6 4 2,10,2078,2079,18133,18143,local_deterministic_sieve
CASE-W008-0004,PAIR-0004,EXP-000001,DS-EXP000001-001,0.1.0,8,4 6 12 2 16 18 2 40,8,2344,2345,20849,20857,local_deterministic_sieve
CASE-W008-0005,PAIR-0005,EXP-000001,DS-EXP000001-001,0.1.0,8,12 8 22 6 2 10 2 6,10,4188,4189,39847,39857,local_deterministic_sieve
CASE-W008-0006,PAIR-0006,EXP-000001,DS-EXP000001-001,0.1.0,8,12 4 26 10 14 16 18 8,18,4507,4508,43159,43177,local_deterministic_sieve
CASE-W008-0007,PAIR-0007,EXP-000001,DS-EXP000001-001,0.1.0,8,4 6 2 16 6 6 20 24,4,5542,5543,54493,54497,local_deterministic_sieve
CASE-W008-0008,PAIR-0008,EXP-000001,DS-EXP000001-001,0.1.0,8,6 30 4 18 12 2 4 14,6,6344,6345,63331,63337,local_deterministic_sieve
CASE-W008-0009,PAIR-0009,EXP-000001,DS-EXP000001-001,0.1.0,8,8 10 6 14 10 32 4 8,10,7297,7298,73951,73961,local_deterministic_sieve
CASE-W008-0010,PAIR-0010,EXP-000001,DS-EXP000001-001,0.1.0,8,12 10 6 8 6 4 12 38,6,8303,8304,85297,85303,local_deterministic_sieve
CASE-W008-0011,PAIR-0011,EXP-000001,DS-EXP000001-001,0.1.0,8,20 4 14 6 6 10 30 8,10,8490,8491,87481,87491,local_deterministic_sieve
CASE-W008-0012,PAIR-0012,EXP-000001,DS-EXP000001-001,0.1.0,8,4 6 6 8 4 20 10 6,12,8625,8626,89057,89069,local_deterministic_sieve
CASE-W008-0013,PAIR-0013,EXP-000001,DS-EXP000001-001,0.1.0,8,6 10 18 2 10 8 6 16,24,8790,8791,90863,90887,local_deterministic_sieve
CASE-W008-0014,PAIR-0014,EXP-000001,DS-EXP000001-001,0.1.0,8,8 10 26 4 2 24 6 4,6,9754,9755,101873,101879,local_deterministic_sieve
CASE-W008-0015,PAIR-0015,EXP-000001,DS-EXP000001-001,0.1.0,8,6 24 16 6 6 14 4 2,22,10250,10251,107719,107741,local_deterministic_sieve
CASE-W008-0016,PAIR-0016,EXP-000001,DS-EXP000001-001,0.1.0,8,2 6 4 12 14 24 6 12,30,12651,12652,135799,135829,local_deterministic_sieve
CASE-W008-0017,PAIR-0017,EXP-000001,DS-EXP000001-001,0.1.0,8,14 16 26 4 2 22 2 28,2,14206,14207,154211,154213,local_deterministic_sieve
CASE-W008-0018,PAIR-0018,EXP-000001,DS-EXP000001-001,0.1.0,8,10 6 8 4 20 6 4 6,12,15265,15266,167087,167099,local_deterministic_sieve
CASE-W008-0019,PAIR-0019,EXP-000001,DS-EXP000001-001,0.1.0,8,4 26 10 18 30 14 12 6,4,15451,15452,169489,169493,local_deterministic_sieve
CASE-W008-0020,PAIR-0020,EXP-000001,DS-EXP000001-001,0.1.0,8,2 10 2 22 36 8 16 18,2,17949,17950,199601,199603,local_deterministic_sieve
CASE-W016-0001,PAIR-0001,EXP-000001,DS-EXP000001-001,0.1.0,16,2 4 2 10 12 2 16 2 6 4 2 10 8 18 24 4,6,328,329,2207,2213,local_deterministic_sieve
CASE-W016-0002,PAIR-0002,EXP-000001,DS-EXP000001-001,0.1.0,16,4 2 4 8 16 2 12 12 6 18 4 6 6 6 2 6,12,2013,2014,17497,17509,local_deterministic_sieve
CASE-W016-0003,PAIR-0003,EXP-000001,DS-EXP000001-001,0.1.0,16,2 24 28 2 4 2 10 2 16 12 8 22 2 6 4 2,10,2078,2079,18133,18143,local_deterministic_sieve
CASE-W016-0004,PAIR-0004,EXP-000001,DS-EXP000001-001,0.1.0,16,12 14 10 2 12 12 4 2 4 6 12 2 16 18 2 40,8,2344,2345,20849,20857,local_deterministic_sieve
CASE-W016-0005,PAIR-0005,EXP-000001,DS-EXP000001-001,0.1.0,16,6 10 8 6 16 12 8 10 12 8 22 6 2 10 2 6,10,4188,4189,39847,39857,local_deterministic_sieve
CASE-W016-0006,PAIR-0006,EXP-000001,DS-EXP000001-001,0.1.0,16,12 10 14 10 6 18 12 2 12 4 26 10 14 16 18 8,18,4507,4508,43159,43177,local_deterministic_sieve
CASE-W016-0007,PAIR-0007,EXP-000001,DS-EXP000001-001,0.1.0,16,16 14 6 4 6 24 2 6 4 6 2 16 6 6 20 24,4,5542,5543,54493,54497,local_deterministic_sieve
CASE-W016-0008,PAIR-0008,EXP-000001,DS-EXP000001-001,0.1.0,16,14 4 18 30 18 2 12 30 6 30 4 18 12 2 4 14,6,6344,6345,63331,63337,local_deterministic_sieve
CASE-W016-0009,PAIR-0009,EXP-000001,DS-EXP000001-001,0.1.0,16,6 14 12 36 4 24 2 10 8 10 6 14 10 32 4 8,10,7297,7298,73951,73961,local_deterministic_sieve
CASE-W016-0010,PAIR-0010,EXP-000001,DS-EXP000001-001,0.1.0,16,6 12 12 14 12 34 6 2 12 10 6 8 6 4 12 38,6,8303,8304,85297,85303,local_deterministic_sieve
CASE-W016-0011,PAIR-0011,EXP-000001,DS-EXP000001-001,0.1.0,16,12 6 14 4 6 14 22 24 20 4 14 6 6 10 30 8,10,8490,8491,87481,87491,local_deterministic_sieve
CASE-W016-0012,PAIR-0012,EXP-000001,DS-EXP000001-001,0.1.0,16,10 14 6 16 18 14 18 24 4 6 6 8 4 20 10 6,12,8625,8626,89057,89069,local_deterministic_sieve
CASE-W016-0013,PAIR-0013,EXP-000001,DS-EXP000001-001,0.1.0,16,18 2 18 6 6 22 18 38 6 10 18 2 10 8 6 16,24,8790,8791,90863,90887,local_deterministic_sieve
CASE-W016-0014,PAIR-0014,EXP-000001,DS-EXP000001-001,0.1.0,16,18 4 14 4 6 2 22 18 8 10 26 4 2 24 6 4,6,9754,9755,101873,101879,local_deterministic_sieve
CASE-W016-0015,PAIR-0015,EXP-000001,DS-EXP000001-001,0.1.0,16,2 54 18 18 4 6 12 20 6 24 16 6 6 14 4 2,22,10250,10251,107719,107741,local_deterministic_sieve
CASE-W016-0016,PAIR-0016,EXP-000001,DS-EXP000001-001,0.1.0,16,14 10 2 12 10 26 4 18 2 6 4 12 14 24 6 12,30,12651,12652,135799,135829,local_deterministic_sieve
CASE-W016-0017,PAIR-0017,EXP-000001,DS-EXP000001-001,0.1.0,16,14 4 6 6 6 2 6 10 14 16 26 4 2 22 2 28,2,14206,14207,154211,154213,local_deterministic_sieve
CASE-W016-0018,PAIR-0018,EXP-000001,DS-EXP000001-001,0.1.0,16,18 6 6 8 22 8 4 2 10 6 8 4 20 6 4 6,12,15265,15266,167087,167099,local_deterministic_sieve
CASE-W016-0019,PAIR-0019,EXP-000001,DS-EXP000001-001,0.1.0,16,6 6 2 6 12 4 18 8 4 26 10 18 30 14 12 6,4,15451,15452,169489,169493,local_deterministic_sieve
CASE-W016-0020,PAIR-0020,EXP-000001,DS-EXP000001-001,0.1.0,16,8 6 12 18 6 4 26 4 2 10 2 22 36 8 16 18,2,17949,17950,199601,199603,local_deterministic_sieve
CASE-W032-0001,PAIR-0001,EXP-000001,DS-EXP000001-001,0.1.0,32,22 6 8 6 4 2 4 8 6 10 2 10 14 10 6 12 2 4 2 10 12 2 16 2 6 4 2 10 8 18 24 4,6,328,329,2207,2213,local_deterministic_sieve
CASE-W032-0002,PAIR-0002,EXP-000001,DS-EXP000001-001,0.1.0,32,2 22 8 18 34 2 6 18 4 6 6 8 10 8 18 6 4 2 4 8 16 2 12 12 6 18 4 6 6 6 2 6,12,2013,2014,17497,17509,local_deterministic_sieve
CASE-W032-0003,PAIR-0003,EXP-000001,DS-EXP000001-001,0.1.0,32,12 18 10 12 6 2 10 2 6 10 18 2 12 6 4 6 2 24 28 2 4 2 10 2 16 12 8 22 2 6 4 2,10,2078,2079,18133,18143,local_deterministic_sieve
CASE-W032-0004,PAIR-0004,EXP-000001,DS-EXP000001-001,0.1.0,32,24 2 12 12 10 6 2 12 30 6 12 16 12 2 22 18 12 14 10 2 12 12 4 2 4 6 12 2 16 18 2 40,8,2344,2345,20849,20857,local_deterministic_sieve
CASE-W032-0005,PAIR-0005,EXP-000001,DS-EXP000001-001,0.1.0,32,2 10 20 10 12 6 12 26 12 4 8 28 8 4 8 24 6 10 8 6 16 12 8 10 12 8 22 6 2 10 2 6,10,4188,4189,39847,39857,local_deterministic_sieve
CASE-W032-0006,PAIR-0006,EXP-000001,DS-EXP000001-001,0.1.0,32,24 8 10 2 12 6 4 36 2 22 6 8 6 10 8 6 12 10 14 10 6 18 12 2 12 4 26 10 14 16 18 8,18,4507,4508,43159,43177,local_deterministic_sieve
CASE-W032-0007,PAIR-0007,EXP-000001,DS-EXP000001-001,0.1.0,32,6 12 12 4 14 12 24 34 18 8 10 6 18 8 4 8 16 14 6 4 6 24 2 6 4 6 2 16 6 6 20 24,4,5542,5543,54493,54497,local_deterministic_sieve
CASE-W032-0008,PAIR-0008,EXP-000001,DS-EXP000001-001,0.1.0,32,10 30 2 10 2 4 2 40 2 28 8 6 6 18 6 10 14 4 18 30 18 2 12 30 6 30 4 18 12 2 4 14,6,6344,6345,63331,63337,local_deterministic_sieve
CASE-W032-0009,PAIR-0009,EXP-000001,DS-EXP000001-001,0.1.0,32,8 10 2 4 24 6 8 22 6 2 12 6 10 12 6 24 6 14 12 36 4 24 2 10 8 10 6 14 10 32 4 8,10,7297,7298,73951,73961,local_deterministic_sieve
CASE-W032-0010,PAIR-0010,EXP-000001,DS-EXP000001-001,0.1.0,32,14 6 10 2 12 18 12 6 10 12 12 20 6 4 2 10 6 12 12 14 12 34 6 2 12 10 6 8 6 4 12 38,6,8303,8304,85297,85303,local_deterministic_sieve
CASE-W032-0011,PAIR-0011,EXP-000001,DS-EXP000001-001,0.1.0,32,12 2 12 16 2 28 2 6 24 10 2 28 2 4 20 4 12 6 14 4 6 14 22 24 20 4 14 6 6 10 30 8,10,8490,8491,87481,87491,local_deterministic_sieve
CASE-W032-0012,PAIR-0012,EXP-000001,DS-EXP000001-001,0.1.0,32,6 24 18 4 6 2 6 4 2 4 2 24 10 8 6 6 10 14 6 16 18 14 18 24 4 6 6 8 4 20 10 6,12,8625,8626,89057,89069,local_deterministic_sieve
CASE-W032-0013,PAIR-0013,EXP-000001,DS-EXP000001-001,0.1.0,32,8 18 12 12 4 2 4 14 36 16 18 2 12 10 6 12 18 2 18 6 6 22 18 38 6 10 18 2 10 8 6 16,24,8790,8791,90863,90887,local_deterministic_sieve
CASE-W032-0014,PAIR-0014,EXP-000001,DS-EXP000001-001,0.1.0,32,4 2 4 24 12 8 18 4 8 16 14 12 10 18 12 8 18 4 14 4 6 2 22 18 8 10 26 4 2 24 6 4,6,9754,9755,101873,101879,local_deterministic_sieve
CASE-W032-0015,PAIR-0015,EXP-000001,DS-EXP000001-001,0.1.0,32,18 4 6 30 14 16 8 4 6 20 64 8 4 14 6 34 2 54 18 18 4 6 12 20 6 24 16 6 6 14 4 2,22,10250,10251,107719,107741,local_deterministic_sieve
CASE-W032-0016,PAIR-0016,EXP-000001,DS-EXP000001-001,0.1.0,32,2 10 18 14 22 26 12 10 8 4 6 2 6 6 4 6 14 10 2 12 10 26 4 18 2 6 4 12 14 24 6 12,30,12651,12652,135799,135829,local_deterministic_sieve
CASE-W032-0017,PAIR-0017,EXP-000001,DS-EXP000001-001,0.1.0,32,30 6 10 2 22 2 16 12 6 2 4 38 6 4 26 16 14 4 6 6 6 2 6 10 14 16 26 4 2 22 2 28,2,14206,14207,154211,154213,local_deterministic_sieve
CASE-W032-0018,PAIR-0018,EXP-000001,DS-EXP000001-001,0.1.0,32,2 16 8 16 18 2 4 2 4 8 6 4 38 10 12 18 18 6 6 8 22 8 4 2 10 6 8 4 20 6 4 6,12,15265,15266,167087,167099,local_deterministic_sieve
CASE-W032-0019,PAIR-0019,EXP-000001,DS-EXP000001-001,0.1.0,32,4 14 18 22 8 18 4 18 18 2 22 2 6 10 24 24 6 6 2 6 12 4 18 8 4 26 10 18 30 14 12 6,4,15451,15452,169489,169493,local_deterministic_sieve
CASE-W032-0020,PAIR-0020,EXP-000001,DS-EXP000001-001,0.1.0,32,12 14 4 36 14 6 22 24 8 16 6 14 16 6 20 4 8 6 12 18 6 4 26 4 2 10 2 22 36 8 16 18,2,17949,17950,199601,199603,local_deterministic_sieve
CASE-W064-0001,PAIR-0001,EXP-000001,DS-EXP000001-001,0.1.0,64,2 10 12 2 10 8 6 6 6 18 6 4 2 12 10 12 8 16 14 6 4 2 4 2 10 12 6 6 18 2 16 2 22 6 8 6 4 2 4 8 6 10 2 10 14 10 6 12 2 4 2 10 12 2 16 2 6 4 2 10 8 18 24 4,6,328,329,2207,2213,local_deterministic_sieve
CASE-W064-0002,PAIR-0002,EXP-000001,DS-EXP000001-001,0.1.0,64,18 6 4 6 6 20 16 2 6 6 18 10 6 2 4 8 6 6 24 16 6 8 10 6 14 22 8 16 6 2 12 4 2 22 8 18 34 2 6 18 4 6 6 8 10 8 18 6 4 2 4 8 16 2 12 12 6 18 4 6 6 6 2 6,12,2013,2014,17497,17509,local_deterministic_sieve
CASE-W064-0003,PAIR-0003,EXP-000001,DS-EXP000001-001,0.1.0,64,10 20 12 18 4 6 2 16 2 10 14 4 30 2 10 12 2 24 6 16 8 10 2 12 22 6 2 16 20 10 2 12 12 18 10 12 6 2 10 2 6 10 18 2 12 6 4 6 2 24 28 2 4 2 10 2 16 12 8 22 2 6 4 2,10,2078,2079,18133,18143,local_deterministic_sieve
CASE-W064-0004,PAIR-0004,EXP-000001,DS-EXP000001-001,0.1.0,64,12 4 6 18 18 12 2 16 12 8 18 10 26 4 6 8 6 6 4 2 10 20 4 6 8 4 20 10 2 34 2 4 24 2 12 12 10 6 2 12 30 6 12 16 12 2 22 18 12 14 10 2 12 12 4 2 4 6 12 2 16 18 2 40,8,2344,2345,20849,20857,local_deterministic_sieve
CASE-W064-0005,PAIR-0005,EXP-000001,DS-EXP000001-001,0.1.0,64,10 8 10 8 10 2 4 6 2 10 42 8 12 4 6 18 2 16 8 4 2 10 14 12 10 20 4 8 10 38 4 6 2 10 20 10 12 6 12 26 12 4 8 28 8 4 8 24 6 10 8 6 16 12 8 10 12 8 22 6 2 10 2 6,10,4188,4189,39847,39857,local_deterministic_sieve
CASE-W064-0006,PAIR-0006,EXP-000001,DS-EXP000001-001,0.1.0,64,14 4 8 10 24 24 12 2 6 12 22 30 2 6 18 10 6 6 8 4 2 6 10 8 10 6 8 16 6 14 6 4 24 8 10 2 12 6 4 36 2 22 6 8 6 10 8 6 12 10 14 10 6 18 12 2 12 4 26 10 14 16 18 8,18,4507,4508,43159,43177,local_deterministic_sieve
CASE-W064-0007,PAIR-0007,EXP-000001,DS-EXP000001-001,0.1.0,64,6 8 22 6 12 18 8 4 20 6 4 6 2 18 6 4 12 12 8 28 6 8 10 2 24 12 10 24 8 10 20 12 6 12 12 4 14 12 24 34 18 8 10 6 18 8 4 8 16 14 6 4 6 24 2 6 4 6 2 16 6 6 20 24,4,5542,5543,54493,54497,local_deterministic_sieve
CASE-W064-0008,PAIR-0008,EXP-000001,DS-EXP000001-001,0.1.0,64,18 10 6 6 14 10 6 6 14 6 24 4 14 22 8 12 10 8 12 18 10 18 8 24 10 8 4 24 6 18 6 2 10 30 2 10 2 4 2 40 2 28 8 6 6 18 6 10 14 4 18 30 18 2 12 30 6 30 4 18 12 2 4 14,6,6344,6345,63331,63337,local_deterministic_sieve
CASE-W064-0009,PAIR-0009,EXP-000001,DS-EXP000001-001,0.1.0,64,48 6 16 18 14 12 6 18 4 20 10 2 6 10 8 30 4 12 20 6 12 6 6 34 6 6 18 6 8 10 12 6 8 10 2 4 24 6 8 22 6 2 12 6 10 12 6 24 6 14 12 36 4 24 2 10 8 10 6 14 10 32 4 8,10,7297,7298,73951,73961,local_deterministic_sieve
CASE-W064-0010,PAIR-0010,EXP-000001,DS-EXP000001-001,0.1.0,64,2 10 18 8 30 40 2 18 4 6 14 18 6 4 12 6 12 6 14 10 26 6 16 2 16 30 2 10 2 42 6 28 14 6 10 2 12 18 12 6 10 12 12 20 6 4 2 10 6 12 12 14 12 34 6 2 12 10 6 8 6 4 12 38,6,8303,8304,85297,85303,local_deterministic_sieve
CASE-W064-0011,PAIR-0011,EXP-000001,DS-EXP000001-001,0.1.0,64,8 10 14 10 14 4 12 30 24 6 8 6 4 8 54 4 2 10 12 8 10 12 12 18 2 24 4 8 22 12 20 4 12 2 12 16 2 28 2 6 24 10 2 28 2 4 20 4 12 6 14 4 6 14 22 24 20 4 14 6 6 10 30 8,10,8490,8491,87481,87491,local_deterministic_sieve
CASE-W064-0012,PAIR-0012,EXP-000001,DS-EXP000001-001,0.1.0,64,12 20 6 10 2 40 18 14 12 4 36 6 2 22 6 14 10 24 42 2 16 2 34 8 6 4 2 4 14 40 8 12 6 24 18 4 6 2 6 4 2 4 2 24 10 8 6 6 10 14 6 16 18 14 18 24 4 6 6 8 4 20 10 6,12,8625,8626,89057,89069,local_deterministic_sieve
CASE-W064-0013,PAIR-0013,EXP-000001,DS-EXP000001-001,0.1.0,64,14 6 22 14 10 14 4 6 2 4 14 10 12 8 16 8 10 8 24 40 6 12 2 6 18 4 2 4 30 2 30 4 8 18 12 12 4 2 4 14 36 16 18 2 12 10 6 12 18 2 18 6 6 22 18 38 6 10 18 2 10 8 6 16,24,8790,8791,90863,90887,local_deterministic_sieve
CASE-W064-0014,PAIR-0014,EXP-000001,DS-EXP000001-001,0.1.0,64,14 6 4 2 12 46 6 6 2 6 6 30 10 8 6 12 4 14 6 16 12 8 10 20 18 10 6 6 12 2 10 14 4 2 4 24 12 8 18 4 8 16 14 12 10 18 12 8 18 4 14 4 6 2 22 18 8 10 26 4 2 24 6 4,6,9754,9755,101873,101879,local_deterministic_sieve
CASE-W064-0015,PAIR-0015,EXP-000001,DS-EXP000001-001,0.1.0,64,6 26 4 14 16 12 8 4 2 16 14 28 12 20 4 12 2 6 12 10 2 18 4 14 34 12 14 4 8 18 16 8 18 4 6 30 14 16 8 4 6 20 64 8 4 14 6 34 2 54 18 18 4 6 12 20 6 24 16 6 6 14 4 2,22,10250,10251,107719,107741,local_deterministic_sieve
CASE-W064-0016,PAIR-0016,EXP-000001,DS-EXP000001-001,0.1.0,64,20 22 8 12 4 12 2 10 20 16 14 6 4 2 18 18 10 18 2 4 14 22 2 12 6 18 4 2 16 12 2 4 2 10 18 14 22 26 12 10 8 4 6 2 6 6 4 6 14 10 2 12 10 26 4 18 2 6 4 12 14 24 6 12,30,12651,12652,135799,135829,local_deterministic_sieve
CASE-W064-0017,PAIR-0017,EXP-000001,DS-EXP000001-001,0.1.0,64,10 6 6 8 12 18 12 10 2 10 2 6 4 24 6 26 18 4 12 18 8 40 12 18 14 6 4 6 8 6 54 24 30 6 10 2 22 2 16 12 6 2 4 38 6 4 26 16 14 4 6 6 6 2 6 10 14 16 26 4 2 22 2 28,2,14206,14207,154211,154213,local_deterministic_sieve
CASE-W064-0018,PAIR-0018,EXP-000001,DS-EXP000001-001,0.1.0,64,30 6 4 6 8 12 28 14 16 54 20 6 4 26 4 2 6 4 6 8 4 12 14 10 2 10 14 10 20 16 2 40 2 16 8 16 18 2 4 2 4 8 6 4 38 10 12 18 18 6 6 8 22 8 4 2 10 6 8 4 20 6 4 6,12,15265,15266,167087,167099,local_deterministic_sieve
CASE-W064-0019,PAIR-0019,EXP-000001,DS-EXP000001-001,0.1.0,64,20 16 6 12 6 6 18 8 12 22 48 12 6 18 6 6 2 12 24 6 34 14 12 4 2 10 30 14 4 2 10 14 4 14 18 22 8 18 4 18 18 2 22 2 6 10 24 24 6 6 2 6 12 4 18 8 4 26 10 18 30 14 12 6,4,15451,15452,169489,169493,local_deterministic_sieve
CASE-W064-0020,PAIR-0020,EXP-000001,DS-EXP000001-001,0.1.0,64,6 6 4 2 4 6 2 10 8 40 2 28 8 4 2 10 6 8 4 6 20 24 12 4 2 10 32 22 6 42 2 28 12 14 4 36 14 6 22 24 8 16 6 14 16 6 20 4 8 6 12 18 6 4 26 4 2 10 2 22 36 8 16 18,2,17949,17950,199601,199603,local_deterministic_sieve
