case_id,window_size,target_index_1_based,target,prediction,confidence,latency_ms,response_exists,valid_json,schema_valid,exact_match,absolute_error,relative_error,signed_error,prime_valid_prediction,parse_error,response_sha256,evaluation_sha256
CASE-W004-000015,4,23474149,442455197,0,0,,True,True,True,False,442455197,1.0,-442455197,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,9e7db631c0d6d5208ad86521181e4ec879abcde15a6babe720cd2db9940ecbd4
CASE-W004-000016,4,23916939,451275079,0,0,,True,True,True,False,451275079,1.0,-451275079,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,a1f44476e96f4aac4ad1442046b5aaf593d05267fdfa77a482cb1cdbf1a6c141
CASE-W004-000017,4,24212381,457161499,0,0,,True,True,True,False,457161499,1.0,-457161499,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,f522db692f5e84b0f5380c2d5af96768761c3d16c068977d8898c51896433373
CASE-W004-000018,4,25831193,489496921,0,0,,True,True,True,False,489496921,1.0,-489496921,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,3b38c74d549b931c9b82dac5b6942a5d5745bf8e3cc4ad63050a4430937ba182
CASE-W004-000019,4,26553471,503965037,0,0,,True,True,True,False,503965037,1.0,-503965037,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,0421f12c3fe9144e793a028948064d827645853efea0b0c29f31ffe2bcc7f2f4
CASE-W004-000020,4,27461958,522197227,0,0,,True,True,True,False,522197227,1.0,-522197227,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,26b393bc570f7d479448fd2936a01ddcb1fc2d4ec5db8ae695472cfc4080f1de
CASE-W004-000021,4,27630779,525586469,0,0,,True,True,True,False,525586469,1.0,-525586469,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,17b7f958a0034a3835717fa86d8aeb7b9ac01b1a8d39d5335a24f12ba6638605
CASE-W004-000022,4,28951993,552141379,0,0,,True,True,True,False,552141379,1.0,-552141379,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,1da7dee6852ac7c987856ac4647e2692a5d9e98645f7fabe0a7a003cc3e9509b
CASE-W004-000023,4,29259429,558330869,0,0,,True,True,True,False,558330869,1.0,-558330869,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,7437cf00517b8316982ece3bf130a72660d118c1c6d4cdfa3086891fb1533c34
CASE-W004-000024,4,29926508,571779937,0,0,,True,True,True,False,571779937,1.0,-571779937,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,f0823aaffbb5c9b526406514888fdf06b08ef2bba0aac49d972cb05f96e42c9f
CASE-W004-000025,4,31135715,596174437,0,0,,True,True,True,False,596174437,1.0,-596174437,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,4e194ddb777984945dae9ed66f0d18bc50cedc557cf63246acca70c17426363d
CASE-W004-000026,4,31294803,599393231,0,0,,True,True,True,False,599393231,1.0,-599393231,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,8a63351327b7b88cfd0778b8731f95c5e02b4b519834b52e52ad6fd60d02d150
CASE-W004-000027,4,32289353,619514081,0,0,,True,True,True,False,619514081,1.0,-619514081,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,40a37daf9e9aaee58b8757d7d4042e7d1dcd35c6d73f625cd59aef7d9d884032
CASE-W004-000028,4,32499715,623775419,0,0,,True,True,True,False,623775419,1.0,-623775419,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,44084ed507de153edf7711cb956bd9e0b55a196ebf8efee53ecaca7a51c53b01
CASE-W004-000029,4,32609076,625989769,0,0,,True,True,True,False,625989769,1.0,-625989769,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,67d04d547cd91e5e7543774e5b14373d921a68153285f0b977be8f570d0e49e5
CASE-W004-000030,4,32900506,631889681,0,0,,True,True,True,False,631889681,1.0,-631889681,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,90e0008fdf80f99a10de2da791dc4caaba2d13aa9eb58778aa99dcb9bc94b282
CASE-W004-000031,4,32914116,632165881,0,0,,True,True,True,False,632165881,1.0,-632165881,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,e8910f8d556d68411c34f0269890bad3491c8e66bb23489e08cd8b883d728cf1
CASE-W004-000032,4,34471611,663762941,0,0,,True,True,True,False,663762941,1.0,-663762941,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,27c66f8e06867fc44e9105f064c86a24f8715f8ee1de4783bbdf02d0cc65b8fe
CASE-W004-000033,4,35357410,681780149,0,0,,True,True,True,False,681780149,1.0,-681780149,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,0f9143cd59e4fb3dddb97beb36429b4e647c9bd193510fbee6b650f6127e6875
CASE-W004-000034,4,35393115,682507193,0,0,,True,True,True,False,682507193,1.0,-682507193,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,495b3d0cc61b7ee796d0afe8ac359ca6cae7e1d826fcadf45ff2d50216909eda
CASE-W004-000035,4,35405774,682765493,0,0,,True,True,True,False,682765493,1.0,-682765493,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,a105ece95d0c2e4ed37cf42f4e2b5c6c1879674aa0605c32f00e80783414baff
CASE-W004-000036,4,36082281,696520337,0,0,,True,True,True,False,696520337,1.0,-696520337,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,141e50497cf75bfe643ecbd79a62dd8f086482a0fa9205363f14d7d3d2d2d582
CASE-W004-000037,4,37451978,724439413,0,0,,True,True,True,False,724439413,1.0,-724439413,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,9d6c42fb1f4f11e9933e457495b4070f9061d2656bce98b3269be2b731fe5cd3
CASE-W004-000038,4,38003859,735712051,0,0,,True,True,True,False,735712051,1.0,-735712051,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,b15bfeee45cb0dbf1e8a9a4dc2830f8001631ce04f8c8f8faaf2c22e921daa41
CASE-W004-000039,4,38341279,742594627,0,0,,True,True,True,False,742594627,1.0,-742594627,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,85a23abe0440f4dd4ca56a612ca692edb02f435f98912d320f1b296bd8d4e72f
CASE-W004-000040,4,38606679,748025557,0,0,,True,True,True,False,748025557,1.0,-748025557,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,812dfa31eab70399be9444f2b1ac92c071dd581072163081bb5f55a74f6809cf
CASE-W004-000041,4,39138377,758901977,0,0,,True,True,True,False,758901977,1.0,-758901977,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,af4b2b182eb3c12873370d67b40739ddb90f162cc01a3df29cff7eb3db91ab38
CASE-W004-000042,4,40241248,781466363,0,0,,True,True,True,False,781466363,1.0,-781466363,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,7f080baf05f9c1998af1336321bb5e0326007df19bae01a9b801c9c5aa530110
CASE-W004-000043,4,43592454,850215967,0,0,,True,True,True,False,850215967,1.0,-850215967,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,70dd6183e6bf1e8c0011b7c46a6c033ceb850e123007746c454f3fc3130b832e
CASE-W004-000044,4,45721062,894052541,0,0,,True,True,True,False,894052541,1.0,-894052541,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,23c77e24e0abee55c2183333f3983eac5d62690c5c7642709c961150d84d7d23
CASE-W004-000045,4,47436775,929449379,0,0,,True,True,True,False,929449379,1.0,-929449379,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,2df0aab68d6cc6dd15fd9fa07cc88e9197a217ea543a4f502a0db585c4d6e630
CASE-W004-000046,4,47724719,935391377,0,0,,True,True,True,False,935391377,1.0,-935391377,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,6ad3f2e370b6a2a355a1fad8dc6f7705d59bc0b741484d9f9b9b71de7777920e
CASE-W004-000047,4,48502472,951471097,0,0,,True,True,True,False,951471097,1.0,-951471097,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,28df0c7d485f80995e08d749522748679b932d028b45f9a977264ca2e8b9f66b
CASE-W004-000048,4,50241464,987446227,0,0,,True,True,True,False,987446227,1.0,-987446227,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,e73dfa7fabaeeebc6c0c6abd9beb8fcb69fb9457911fccbfad59e87db695b4dd
CASE-W004-000049,4,51075749,1004732059,0,0,,True,True,True,False,1004732059,1.0,-1004732059,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,b3b609dccd53af5db6c9835fb9490079d40ec9517a0b995c18fa8cbf8b0408ad
CASE-W004-000050,4,51355706,1010533553,0,0,,True,True,True,False,1010533553,1.0,-1010533553,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,38b9d8fb26a5e5e21bed13a7fe4dd3c20b19bf683d7bd89aa2ce5845cab573d3
CASE-W004-000051,4,53318921,1051277113,0,0,,True,True,True,False,1051277113,1.0,-1051277113,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,45f659afe1a43fdbaa56d5b9bfb3ef0f1ce94671430e8870142c0bed84844aff
CASE-W004-000052,4,55045291,1087159247,0,0,,True,True,True,False,1087159247,1.0,-1087159247,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,7a5b5972d2fb48107db5cf8b2eba22308eb3ad7678dd0c6717aec58869be9d12
CASE-W004-000053,4,55239885,1091210833,0,0,,True,True,True,False,1091210833,1.0,-1091210833,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,797af0071fd12d212af6605f92871f5be936cea5e913f0682b3eb390671ce765
CASE-W004-000054,4,55903247,1105011601,0,0,,True,True,True,False,1105011601,1.0,-1105011601,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,89c6cb260387ba3e315c89b326b05fd00c1b46dfdf98dd853a153d31057d0b49
CASE-W004-000055,4,57168211,1131375319,0,0,,True,True,True,False,1131375319,1.0,-1131375319,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,640a4e6d91ea8b3b87d9c35f84643dfe756d11be0bc458a32317d9f65013b460
CASE-W004-000056,4,58208029,1153076677,0,0,,True,True,True,False,1153076677,1.0,-1153076677,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,5368a976eef58e6e0528fe6b2762adf9bae74ab497f4581d72c500904974402e
CASE-W004-000057,4,63819311,1270434103,0,0,,True,True,True,False,1270434103,1.0,-1270434103,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,797ab2b8391f3a01927dd9f3ec4e7f4ff2d03990a0737f8058222d9356ecaf21
CASE-W004-000058,4,63897808,1272082891,0,0,,True,True,True,False,1272082891,1.0,-1272082891,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,2c2714ae4d4a0a64f383647a0aa37d7407b91815ff4ead82e6358c6fc7335282
CASE-W004-000059,4,66175131,1319872637,0,0,,True,True,True,False,1319872637,1.0,-1319872637,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,72dad695a45821c3d48f13d373d41d9a73cb5464e783862b4039a10f2127b9e5
CASE-W004-000060,4,67932555,1356791173,0,0,,True,True,True,False,1356791173,1.0,-1356791173,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,94a9104071e57f8a56095a0d9816307d335beeb1ecee0e0f650266d78763955b
CASE-W004-000061,4,69515142,1390101421,0,0,,True,True,True,False,1390101421,1.0,-1390101421,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,c65690f3e2f3d3cb1a39d26086375298a3253c1f15d922f4116efe3852545601
CASE-W004-000062,4,69715871,1394323943,0,0,,True,True,True,False,1394323943,1.0,-1394323943,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,82e72b56ab051e74394e9ce390a431e78d05b3e72bc5eff06d5a4c97e1757cfd
CASE-W004-000063,4,72284703,1448467001,0,0,,True,True,True,False,1448467001,1.0,-1448467001,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,5db11ecbd5dced4a0d075bdf699545e74eefa07a104b5d7a90985880d4a8f860
CASE-W004-000064,4,72451588,1451989289,0,0,,True,True,True,False,1451989289,1.0,-1451989289,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,54f2fc5ecf5f424880a94d69d09b23335f28dd8ab4c0fbe8ae16073f141ad9c1
CASE-W004-000065,4,73352436,1471004659,0,0,,True,True,True,False,1471004659,1.0,-1471004659,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,30aa450c718201579da5c63aa6e1de82038af97a3760f171d03f5859f189bc93
CASE-W004-000066,4,73926449,1483116113,0,0,,True,True,True,False,1483116113,1.0,-1483116113,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,b65e6c76ce2a7e245d1cd0a1f22109c6f286cc3d7800f6f15ad54136f998c1d4
CASE-W004-000067,4,74330556,1491640763,0,0,,True,True,True,False,1491640763,1.0,-1491640763,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,14a6a42057d7f4cff8d51fa483e7d0752c50bb8797154252170514326a6858c1
CASE-W004-000068,4,74556706,1496412493,0,0,,True,True,True,False,1496412493,1.0,-1496412493,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,c0fed05912ad134421f65652babe8cb7587666f68559ce160bff9016cbc9fa78
CASE-W004-000069,4,75862687,1524018263,0,0,,True,True,True,False,1524018263,1.0,-1524018263,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,4decb93496129f5e12f9ae4e88d7ac91228c0f7f04cd4f66c1cb3064002c478b
CASE-W004-000070,4,75919284,1525215529,0,0,,True,True,True,False,1525215529,1.0,-1525215529,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,e62742aa919b36a1054fb49ab173a4512d55282e46f69d033a6333a070311d91
CASE-W004-000071,4,76440653,1536240857,0,0,,True,True,True,False,1536240857,1.0,-1536240857,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,1fce439f747bb2bb560647766454bbaa126ed2e92763801667227225fcfd1c2c
CASE-W004-000072,4,77978224,1568787559,0,0,,True,True,True,False,1568787559,1.0,-1568787559,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,e679e1882b0ae16edb3960e4bf225a5ec1f5e6d2d1241dcfb79b0d6f3a2b00cd
CASE-W004-000073,4,78713595,1584353149,0,0,,True,True,True,False,1584353149,1.0,-1584353149,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,db5b4a70d4172b2e372878a1db0b4cdf04c92657ac46a2681a90e3ee8bbd678f
CASE-W004-000074,4,78794724,1586075471,0,0,,True,True,True,False,1586075471,1.0,-1586075471,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,ba075c00840775efb5a34ed16a4a583677b36c7df90efe543d6ab0b7d969a0d2
CASE-W004-000075,4,78812051,1586443583,0,0,,True,True,True,False,1586443583,1.0,-1586443583,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,74bb957b289c08a7d564ca24b9184dc14c25824bc93f9896538d8e4e1adee5db
CASE-W004-000076,4,80590181,1624139617,0,0,,True,True,True,False,1624139617,1.0,-1624139617,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,ddd2f00dad67067ec94aa2448f5ba8ebba9d5e818fd97e80e0e314cd4a9087c6
CASE-W004-000077,4,81218104,1637447983,0,0,,True,True,True,False,1637447983,1.0,-1637447983,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,6a110e7c356b5f27647db25ee4b01bdd1461eaf33d71b03c1a1774704221aaf5
CASE-W004-000078,4,81601973,1645599581,0,0,,True,True,True,False,1645599581,1.0,-1645599581,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,f5c1abf62bc21d30e9b58da8bda08bda8f963353adb0155d0ccb4437d7cc0de3
CASE-W004-000079,4,81611828,1645807819,0,0,,True,True,True,False,1645807819,1.0,-1645807819,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,28f87bf2708366ca39db1783a836d261cd743309e67884a4c78543c1a679aad8
CASE-W004-000080,4,82082742,1655812489,0,0,,True,True,True,False,1655812489,1.0,-1655812489,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,3eb385bdf646e67b173cc155d83a5039c56cb61e230203d6f3f6a12de2319a14
CASE-W004-000081,4,82512319,1664936179,0,0,,True,True,True,False,1664936179,1.0,-1664936179,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,086c2191d46e2c9698869c8c96662a81c64dc25adbd55f897fc79ea65940691e
CASE-W004-000082,4,84464743,1706408309,0,0,,True,True,True,False,1706408309,1.0,-1706408309,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,6eda6f73be55ccab9563267df8da147c624ff770588acc04409c2e70bee0f198
CASE-W004-000083,4,84515917,1707493561,0,0,,True,True,True,False,1707493561,1.0,-1707493561,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,f43e6d297cd4141cdd842705827e1e0fc8fb06fa35d8383222882d9e5945b96f
CASE-W004-000084,4,84871199,1715049691,0,0,,True,True,True,False,1715049691,1.0,-1715049691,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,18b4dbcaef1f4ab9b5a4aec6cc4e1e579b2124ac67f477206448402abb6a9cdc
CASE-W004-000085,4,85058899,1719035543,0,0,,True,True,True,False,1719035543,1.0,-1719035543,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,6037a529ac0dcecb82c25bb75aa59f3cb5c1a50b77ababb68e4e6666f554568a
CASE-W004-000086,4,87208098,1764772337,0,0,,True,True,True,False,1764772337,1.0,-1764772337,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,6e55ea594b75cd5c8d0010aff9865e50d84438d6d76f4d4c786e1be35df6d393
CASE-W004-000087,4,87802976,1777444183,0,0,,True,True,True,False,1777444183,1.0,-1777444183,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,102e15401111059c9595c96638aa020294bf18d499147e459f2dfb25a96049fd
CASE-W004-000088,4,89367786,1810771663,0,0,,True,True,True,False,1810771663,1.0,-1810771663,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,fb9f53f2a069be2cdf7dd08e2acb18605c8cfee628f1ef239c81ccf85b7572d4
CASE-W004-000089,4,89697036,1817795843,0,0,,True,True,True,False,1817795843,1.0,-1817795843,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,a3338b936acf8759b964d9b5bbbedd148038fb20397b4e25276831202a3606e0
CASE-W004-000090,4,90869180,1842801907,0,0,,True,True,True,False,1842801907,1.0,-1842801907,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,beb170b25793579ffd29610086658141aacaa535dbeff422f2903f646c1215c5
CASE-W004-000091,4,91679805,1860102931,0,0,,True,True,True,False,1860102931,1.0,-1860102931,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,af58e95644e6dc577c94fe0e108b69143daedbd9a517f2c2d227c772de284ead
CASE-W004-000092,4,92154892,1870250141,0,0,,True,True,True,False,1870250141,1.0,-1870250141,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,e2fdf114d63f534b7e6770c13f1652df8d29a48e81278e3cd377b9880c3d439e
CASE-W004-000093,4,92936670,1886955373,0,0,,True,True,True,False,1886955373,1.0,-1886955373,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,3e6d8ae4fc257b487dd55f814323b6f9b8fff9e020b67c8c40cc1f5731a8f0bc
CASE-W004-000094,4,93013923,1888599941,0,0,,True,True,True,False,1888599941,1.0,-1888599941,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,f6eacc97948460c19061d069cdaf8910fa157e2da51c877129b50cd70dfd265a
CASE-W004-000095,4,94653942,1923648191,0,0,,True,True,True,False,1923648191,1.0,-1923648191,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,b81bfbbc99e868a2f48611f0221f93490792f565765696c16a4916d7d3774e6a
CASE-W004-000096,4,96098668,1954538071,0,0,,True,True,True,False,1954538071,1.0,-1954538071,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,9ef33ec5a7f2da69f4b49ce872dda1dd253d3f63138dc9655048cd750d5377d5
CASE-W004-000097,4,96115731,1954904801,0,0,,True,True,True,False,1954904801,1.0,-1954904801,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,ad9d5c28b8f73a26cd25e93e087dce8e352197deba88442bbc0e964048cd5314
CASE-W004-000098,4,97370992,1981763359,0,0,,True,True,True,False,1981763359,1.0,-1981763359,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,9d7bcf7937fc15bad74e79b2aa71c8683c054fc656e51269b8319c7ec4a4a508
CASE-W004-000099,4,97562164,1985859679,0,0,,True,True,True,False,1985859679,1.0,-1985859679,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,5bb825f7ba8a125308fdb83b334344e89517ef0c667debf9251929300bff928c
CASE-W004-000100,4,99538549,2028183499,0,0,,True,True,True,False,2028183499,1.0,-2028183499,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,4e46ded54582f8d3905cf76eb750d1db09f40d4431eb16bf2b95a1b162f562b4
CASE-W008-000001,8,334796,4789963,0,0,,True,True,True,False,4789963,1.0,-4789963,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,f0a21bee89aee50d5e3d3948cf063223706d7331c1f425fbbf3e201718cebf19
CASE-W008-000002,8,1050096,16315217,0,0,,True,True,True,False,16315217,1.0,-16315217,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,a31cbe956eb6cffb7fa7de5f6109d9331a20c3a3a56a1e51494da87d0d51deb7
CASE-W008-000003,8,3304839,55403263,0,0,,True,True,True,False,55403263,1.0,-55403263,False,,933236f6ca4e3f0fa11a61cade0013692d8964946c01de4feff8db829ca287e2,2f501940dbf9d980a7c3264ea382662c12509118e9c24c13f0699c533bebb96a
