run_id,provider,model,case_id,category,trial,job_status,passed,score,evaluator,latency_ms,total_tokens,confidence,answer,provider_error_category,provider_error_http_status
20260807T221928Z,deepseek,deepseek-v4-pro,CASE-PRIME-GAP-0001,Numerical Reasoning,5,EVALUATED,True,100,numeric_exact,13434,1360,99,4,,
20260807T221928Z,deepseek,deepseek-v4-pro,CASE-JSON-0001,Structured Output,1,EVALUATED,True,100,json_semantic,3356,346,100,"{'service': 'Atlas', 'records': 1250, 'seconds': 3.8, 'status': 'success'}",,
20260807T221928Z,deepseek,deepseek-v4-pro,CASE-JSON-0001,Structured Output,2,EVALUATED,True,100,json_semantic,2549,282,100,"{'service': 'Atlas', 'records': 1250, 'seconds': 3.8, 'status': 'successfully'}",,
20260807T221928Z,deepseek,deepseek-v4-pro,CASE-JSON-0001,Structured Output,3,EVALUATED,True,100,json_semantic,2693,337,100,"{'service': 'Atlas', 'records': 1250, 'seconds': 3.8, 'status': 'success'}",,
20260807T221928Z,deepseek,deepseek-v4-pro,CASE-JSON-0001,Structured Output,4,EVALUATED,True,100,json_semantic,2810,402,100,"{'service': 'Atlas', 'records': 1250, 'seconds': 3.8, 'status': 'success'}",,
20260807T221928Z,deepseek,deepseek-v4-pro,CASE-JSON-0001,Structured Output,5,EVALUATED,True,100,json_semantic,3593,416,100,"{'service': 'Atlas', 'records': 1250, 'seconds': 3.8, 'status': 'success'}",,
20260807T221928Z,deepseek,deepseek-v4-pro,CASE-SQL-0001,SQL,1,EVALUATED,True,100,sql_semantic,4944,542,100,"SELECT customer_id, SUM(amount) AS total_amount FROM Sales GROUP BY customer_id HAVING SUM(amount) > 1000 ORDER BY total_amount DESC;",,
20260807T221928Z,deepseek,deepseek-v4-pro,CASE-SQL-0001,SQL,2,EVALUATED,True,100,sql_semantic,3206,387,100,"SELECT customer_id, SUM(amount) AS total_amount FROM Sales GROUP BY customer_id HAVING SUM(amount) > 1000 ORDER BY total_amount DESC;",,
20260807T221928Z,deepseek,deepseek-v4-pro,CASE-SQL-0001,SQL,3,EVALUATED,True,100,sql_semantic,3351,317,99,"SELECT customer_id, SUM(amount) AS total_amount FROM Sales GROUP BY customer_id HAVING SUM(amount) > 1000 ORDER BY total_amount DESC;",,
20260807T221928Z,deepseek,deepseek-v4-pro,CASE-SQL-0001,SQL,4,EVALUATED,True,100,sql_semantic,2723,316,100,"SELECT customer_id, SUM(amount) AS total_amount FROM Sales GROUP BY customer_id HAVING SUM(amount) > 1000 ORDER BY total_amount DESC;",,
20260807T221928Z,deepseek,deepseek-v4-pro,CASE-SQL-0001,SQL,5,EVALUATED,True,100,sql_semantic,3511,331,95,"SELECT customer_id, SUM(amount) AS total_amount FROM Sales GROUP BY customer_id HAVING SUM(amount) > 1000 ORDER BY total_amount DESC;",,
20260807T221928Z,deepseek,deepseek-v4-pro,CASE-LOGIC-0001,Logical Reasoning,1,EVALUATED,True,100,time_exact,2238,305,100,10:10,,
20260807T221928Z,deepseek,deepseek-v4-pro,CASE-LOGIC-0001,Logical Reasoning,2,EVALUATED,True,100,time_exact,3892,466,100,10:10,,
20260807T221928Z,deepseek,deepseek-v4-pro,CASE-LOGIC-0001,Logical Reasoning,3,EVALUATED,True,100,time_exact,3261,354,100,10:10,,
20260807T221928Z,deepseek,deepseek-v4-pro,CASE-LOGIC-0001,Logical Reasoning,4,EVALUATED,True,100,time_exact,2782,325,100,10:10,,
20260807T221928Z,deepseek,deepseek-v4-pro,CASE-LOGIC-0001,Logical Reasoning,5,EVALUATED,True,100,time_exact,3341,406,100,10:10,,
